"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"years"	478	104	10	"years"	186
"while"	477	115	10	"while"	187
"father"	472	92	10	"father"	188
"water"	472	98	10	"water"	189
"behind"	462	117	10	"behind"	190
"another"	459	115	10	"another"	191
"kind"	458	115	10	"kind"	192
"cold"	456	115	10	"cold"	193
"hands"	451	112	10	"hands"	194
"coraline"	449	13	1	"coraline"	195
"opened"	448	114	10	"opened"	196
"last"	445	118	10	"last"	197
"really"	444	110	10	"really"	198
"seemed"	443	119	10	"seemed"	199
"let"	440	116	10	"let"	200
"home"	439	109	10	"home"	201
"front"	434	114	10	"front"	202
"light"	430	113	10	"light"	203
"tristran"	427	8	1	"tristran"	204
"wall"	424	87	10	"wall"	205
"own"	418	114	10	"own"	206
"looking"	417	114	10	"looking"	207
"car"	416	59	7	"car"	208
"inside"	415	109	10	"inside"	209
"i'll"	413	105	10	"i'll"	210
"hair"	411	112	10	"hair"	211
"our"	410	114	10	"our"	212
"should"	409	115	10	"should"	213
"three"	408	105	10	"three"	214
"red"	407	119	10	"red"	215
"reached"	406	112	10	"reached"	216
"sat"	406	113	9	"sat"	217
"life"	398	107	10	"life"	218
"called"	395	106	10	"called"	219
"open"	391	112	10	"open"	220
"find"	390	113	9	"find"	221
"might"	389	110	10	"might"	222
"big"	386	105	10	"big"	223
"across"	385	111	10	"across"	224
"boy"	381	90	9	"boy"	225
"girl"	380	100	9	"girl"	226
"end"	378	115	10	"end"	227
"enough"	377	104	10	"enough"	228
"being"	370	112	10	"being"	229
"gone"	370	115	10	"gone"	230
"mouth"	370	105	10	"mouth"	231
"seen"	369	108	10	"seen"	232
"next"	368	107	10	"next"	233
"almost"	367	115	10	"almost"	234
"someone"	367	93	10	"someone"	235
"beneath"	364	109	10	"beneath"	236
"need"	361	98	10	"need"	237
"always"	360	111	10	"always"	238
"heard"	360	110	10	"heard"	239
"stared"	360	113	10	"stared"	240
"am"	359	98	10	"am"	241
"beside"	359	111	9	"beside"	242
"onto"	357	99	9	"onto"	243
"everything"	356	105	10	"everything"	244
"young"	355	103	9	"young"	245
"name"	354	99	10	"name"	246
"every"	349	109	10	"every"	247
"wanted"	349	100	10	"wanted"	248
"stopped"	347	110	10	"stopped"	249
"wasn't"	346	99	10	"wasn't"	250
"because"	345	102	10	"because"	251
"huge"	342	117	10	"huge"	252
"deep"	341	111	10	"deep"	253
"shook"	341	98	10	"shook"	254
"he's"	339	79	9	"he's"	255
"stood"	337	104	9	"stood"	256
"air"	332	106	10	"air"	257
"has"	330	95	10	"has"	258
