"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"usa"	4	4	2	"usa"	8777
"v8"	4	1	1	"v8"	8778
"vacant"	4	3	3	"vacant"	8779
"vacation"	4	3	1	"vacation"	8780
"vale"	4	2	1	"vale"	8781
"vampires"	4	4	2	"vampires"	8782
"vase"	4	3	2	"vase"	8783
"vcr"	4	4	2	"vcr"	8784
"venison"	4	4	2	"venison"	8785
"vest"	4	4	3	"vest"	8786
"vibrating"	4	4	3	"vibrating"	8787
"vicky"	4	2	1	"vicky"	8788
"victim"	4	4	3	"victim"	8789
"videos"	4	4	3	"videos"	8790
"viking"	4	2	2	"viking"	8791
"vikings"	4	3	2	"vikings"	8792
"vile"	4	4	3	"vile"	8793
"vinegary"	4	3	3	"vinegary"	8794
"violent"	4	4	2	"violent"	8795
"visions"	4	4	2	"visions"	8796
"visitor"	4	3	3	"visitor"	8797
"volunteer"	4	3	3	"volunteer"	8798
"vot"	4	1	1	"vot"	8799
"voudon"	4	2	1	"voudon"	8800
"vu"	4	4	3	"vu"	8801
"vulture"	4	4	4	"vulture"	8802
"waded"	4	3	2	"waded"	8803
"waisted"	4	2	1	"waisted"	8804
"wall.the"	4	3	2	"wall.the"	8805
"walt"	4	3	2	"walt"	8806
"warden's"	4	2	1	"warden's"	8807
"wares"	4	2	2	"wares"	8808
"warmest"	4	4	4	"warmest"	8809
"warms"	4	4	2	"warms"	8810
"water.then"	4	4	3	"water.then"	8811
"watered"	4	3	3	"watered"	8812
"weaker"	4	3	2	"weaker"	8813
"weaving"	4	4	4	"weaving"	8814
"webbed"	4	3	3	"webbed"	8815
"webs"	4	4	2	"webs"	8816
"weekly"	4	4	3	"weekly"	8817
"weeping"	4	3	3	"weeping"	8818
"weigh"	4	3	3	"weigh"	8819
"weightless"	4	4	4	"weightless"	8820
"welling"	4	4	3	"welling"	8821
"wendell's"	4	1	1	"wendell's"	8822
"wetness"	4	4	2	"wetness"	8823
"wetting"	4	4	4	"wetting"	8824
"whirled"	4	4	4	"whirled"	8825
"whirlwind"	4	4	3	"whirlwind"	8826
"whirr"	4	4	3	"whirr"	8827
"whistled"	4	4	3	"whistled"	8828
"whistling"	4	4	3	"whistling"	8829
"who'll"	4	4	2	"who'll"	8830
"whores"	4	3	2	"whores"	8831
"wig"	4	4	3	"wig"	8832
"wiggling"	4	4	3	"wiggling"	8833
"william"	4	4	3	"william"	8834
"willie"	4	3	2	"willie"	8835
"wink"	4	4	2	"wink"	8836
"winter's"	4	4	3	"winter's"	8837
"wisp"	4	4	3	"wisp"	8838
"wistful"	4	4	3	"wistful"	8839
"wits"	4	4	4	"wits"	8840
"women's"	4	3	2	"women's"	8841
"wonderfully"	4	4	4	"wonderfully"	8842
"world.the"	4	4	3	"world.the"	8843
"wormhole"	4	2	1	"wormhole"	8844
"worrying"	4	4	4	"worrying"	8845
"wrenching"	4	3	2	"wrenching"	8846
"writes"	4	4	3	"writes"	8847
"wrongness"	4	4	4	"wrongness"	8848
"y'know"	4	4	3	"y'know"	8849
"yellowed"	4	3	2	"yellowed"	8850
"yoopie"	4	1	1	"yoopie"	8851
"yowl"	4	4	4	"yowl"	8852
"zero"	4	4	2	"zero"	8853
"zooming"	4	4	2	"zooming"	8854
"00666"	3	1	1	"00666"	8855
"14"	3	3	3	"14"	8856
"15"	3	3	2	"15"	8857
"1872"	3	2	1	"1872"	8858
"1876"	3	1	1	"1876"	8859
"1884"	3	2	1	"1884"	8860
"1926"	3	1	1	"1926"	8861
"1983"	3	3	2	"1983"	8862
"1984"	3	1	1	"1984"	8863
"1987"	3	2	2	"1987"	8864
"1989"	3	2	2	"1989"	8865
"1996"	3	1	1	"1996"	8866
"1997"	3	2	1	"1997"	8867
"58"	3	2	2	"58"	8868
"7"	3	3	3	"7"	8869
"abdomen"	3	3	2	"abdomen"	8870
"aboriginal"	3	3	2	"aboriginal"	8871
"absent"	3	3	3	"absent"	8872
"accelerated"	3	3	3	"accelerated"	8873
"accented"	3	3	3	"accented"	8874
"accomplished"	3	3	3	"accomplished"	8875
"accumulated"	3	3	3	"accumulated"	8876
"accuracy"	3	3	3	"accuracy"	8877
"accused"	3	3	2	"accused"	8878
"achieved"	3	3	3	"achieved"	8879
"acne"	3	3	1	"acne"	8880
"acorn"	3	1	1	"acorn"	8881
"acting"	3	3	3	"acting"	8882
"adam's"	3	3	2	"adam's"	8883
"addict"	3	3	3	"addict"	8884
"additional"	3	3	3	"additional"	8885
"addresses"	3	3	2	"addresses"	8886
"adjoining"	3	2	2	"adjoining"	8887
"adjust"	3	3	3	"adjust"	8888
"admitting"	3	3	3	"admitting"	8889
"adventurous"	3	3	2	"adventurous"	8890
"advertisements"	3	3	2	"advertisements"	8891
"aeons"	3	1	1	"aeons"	8892
"aesir"	3	2	1	"aesir"	8893
"affectionate"	3	3	3	"affectionate"	8894
"afloat"	3	2	2	"afloat"	8895
"afternoon's"	3	3	3	"afternoon's"	8896
"again.it"	3	3	2	"again.it"	8897
"again.the"	3	3	3	"again.the"	8898
"aggression"	3	3	2	"aggression"	8899
"agitated"	3	3	2	"agitated"	8900
"agreeably"	3	3	2	"agreeably"	8901
"agreeing"	3	3	2	"agreeing"	8902
"agrees"	3	3	3	"agrees"	8903
"ahh"	3	3	3	"ahh"	8904
"ahoy"	3	2	2	"ahoy"	8905
"aimed"	3	3	3	"aimed"	8906
"air.the"	3	3	3	"air.the"	8907
"airplanes"	3	3	2	"airplanes"	8908
"albeit"	3	3	3	"albeit"	8909
"alcoholic"	3	3	3	"alcoholic"	8910
"alexander"	3	3	3	"alexander"	8911
"alice"	3	2	2	"alice"	8912
"aliquid"	3	1	1	"aliquid"	8913
"alison's"	3	1	1	"alison's"	8914
"alleys"	3	3	2	"alleys"	8915
"alligator"	3	3	2	"alligator"	8916
"alligators"	3	3	2	"alligators"	8917
"allows"	3	2	1	"allows"	8918
"aloes"	3	2	2	"aloes"	8919
"alternate"	3	2	2	"alternate"	8920
"alviss"	3	1	1	"alviss"	8921
"amen"	3	1	1	"amen"	8922
"americas"	3	2	2	"americas"	8923
"amounted"	3	3	2	"amounted"	8924
"andrew"	3	3	3	"andrew"	8925
"andy"	3	1	1	"andy"	8926
"animated"	3	3	3	"animated"	8927
"another's"	3	3	3	"another's"	8928
"anyone's"	3	3	3	"anyone's"	8929
"anythin"	3	2	2	"anythin"	8930
"apartments"	3	3	2	"apartments"	8931
"aplenty"	3	3	2	"aplenty"	8932
"apologies"	3	3	3	"apologies"	8933
"appeal"	3	2	2	"appeal"	8934
"appreciated"	3	2	2	"appreciated"	8935
"approaches"	3	3	1	"approaches"	8936
"approved"	3	3	3	"approved"	8937
"armani"	3	2	2	"armani"	8938
"armpits"	3	3	3	"armpits"	8939
"arson"	3	3	3	"arson"	8940
"arthritic"	3	3	3	"arthritic"	8941
"articles"	3	3	2	"articles"	8942
"ascend"	3	3	2	"ascend"	8943
"asked.bod"	3	2	1	"asked.bod"	8944
"asked.mr"	3	3	1	"asked.mr"	8945
"aspects"	3	2	2	"aspects"	8946
"assassin"	3	3	2	"assassin"	8947
"assassination"	3	3	1	"assassination"	8948
"assembly"	3	3	3	"assembly"	8949
"assholes"	3	3	1	"assholes"	8950
"assurance"	3	3	3	"assurance"	8951
"atsula's"	3	1	1	"atsula's"	8952
"attach"	3	3	3	"attach"	8953
"attacking"	3	2	2	"attacking"	8954
"attained"	3	3	3	"attained"	8955
"attempts"	3	3	1	"attempts"	8956
"attractions"	3	2	1	"attractions"	8957
"auction"	3	2	2	"auction"	8958
"auditioning"	3	2	1	"auditioning"	8959
"authors"	3	2	1	"authors"	8960
"avenge"	3	2	1	"avenge"	8961
"avenues"	3	2	2	"avenues"	8962
"averse"	3	2	2	"averse"	8963
"avocados"	3	1	1	"avocados"	8964
"await"	3	3	3	"await"	8965
"awakened"	3	3	3	"awakened"	8966
"away.she"	3	3	3	"away.she"	8967
"away.the"	3	3	3	"away.the"	8968
"awed"	3	3	3	"awed"	8969
"awkwardness"	3	3	2	"awkwardness"	8970
"axes"	3	3	2	"axes"	8971
"azalea"	3	3	1	"azalea"	8972
"babble"	3	3	2	"babble"	8973
"babbling"	3	2	2	"babbling"	8974
"babel"	3	2	2	"babel"	8975
"babycakes"	3	3	1	"babycakes"	8976
"back.it"	3	3	2	"back.it"	8977
"backing"	3	2	2	"backing"	8978
"backyard"	3	3	3	"backyard"	8979
"baize"	3	2	1	"baize"	8980
"baker"	3	1	1	"baker"	8981
"baking"	3	3	3	"baking"	8982
"ballads"	3	3	2	"ballads"	8983
"balmung"	3	2	2	"balmung"	8984
"bangs"	3	3	3	"bangs"	8985
"barbados"	3	3	2	"barbados"	8986
"barbed"	3	3	2	"barbed"	8987
"barber's"	3	3	3	"barber's"	8988
"barking"	3	3	2	"barking"	8989
"barren"	3	3	3	"barren"	8990
"barter"	3	3	3	"barter"	8991
"bartram"	3	3	1	"bartram"	8992
"based"	3	3	2	"based"	8993
"basis"	3	3	3	"basis"	8994
"bathing"	3	3	3	"bathing"	8995
"batting"	3	3	2	"batting"	8996
"bayou"	3	1	1	"bayou"	8997
"bearable"	3	3	3	"bearable"	8998
"bearing"	3	3	2	"bearing"	8999
"beauties"	3	3	2	"beauties"	9000
"bedspread"	3	3	3	"bedspread"	9001
"beers"	3	1	1	"beers"	9002
"beetroot"	3	1	1	"beetroot"	9003
"bellies"	3	3	2	"bellies"	9004
"belonging"	3	3	2	"belonging"	9005
"benefit"	3	2	2	"benefit"	9006
"benefits"	3	3	2	"benefits"	9007
"berth"	3	3	2	"berth"	9008
"bespattered"	3	3	2	"bespattered"	9009
"better.he"	3	3	3	"better.he"	9010
"beverly"	3	3	2	"beverly"	9011
"bid"	3	3	3	"bid"	9012
"biddy"	3	3	2	"biddy"	9013
"billowed"	3	3	3	"billowed"	9014
"bitches"	3	2	1	"bitches"	9015
"blackbird"	3	2	1	"blackbird"	9016
"blacktop"	3	3	1	"blacktop"	9017
"blah"	3	1	1	"blah"	9018
"blaming"	3	2	2	"blaming"	9019
"bland"	3	3	2	"bland"	9020
"blanding"	3	1	1	"blanding"	9021
"blankly"	3	3	3	"blankly"	9022
"blithely"	3	3	2	"blithely"	9023
"blocky"	3	3	3	"blocky"	9024
"blondest"	3	1	1	"blondest"	9025
"blood.she"	3	3	3	"blood.she"	9026
"bloodless"	3	2	1	"bloodless"	9027
"blotches"	3	3	3	"blotches"	9028
"blowjob"	3	3	2	"blowjob"	9029
"bluebells"	3	2	2	"bluebells"	9030
"bluejay's"	3	1	1	"bluejay's"	9031
"bluish"	3	3	3	"bluish"	9032
"blurb"	3	2	1	"blurb"	9033
"blurring"	3	3	3	"blurring"	9034
"blushing"	3	3	3	"blushing"	9035
"bodice"	3	2	1	"bodice"	9036
"bodily"	3	3	3	"bodily"	9037
"body's"	3	3	2	"body's"	9038
"bog"	3	3	3	"bog"	9039
"boils"	3	3	3	"boils"	9040
"bomb"	3	3	3	"bomb"	9041
"boon"	3	1	1	"boon"	9042
"booth"	3	3	2	"booth"	9043
"bootle"	3	1	1	"bootle"	9044
"borscht"	3	1	1	"borscht"	9045
"bosses"	3	2	2	"bosses"	9046
"bough"	3	2	2	"bough"	9047
"bounce"	3	3	2	"bounce"	9048
"bouncers"	3	2	2	"bouncers"	9049
"bounding"	3	2	2	"bounding"	9050
"box.the"	3	3	1	"box.the"	9051
"boxed"	3	3	2	"boxed"	9052
"boxroom"	3	1	1	"boxroom"	9053
"boyish"	3	3	2	"boyish"	9054
"bra"	3	3	2	"bra"	9055
"bracelets"	3	3	2	"bracelets"	9056
"bragged"	3	3	3	"bragged"	9057
"brat"	3	3	3	"brat"	9058
"bravery"	3	3	2	"bravery"	9059
"bravest"	3	3	2	"bravest"	9060
"briar"	3	2	2	"briar"	9061
"briefs"	3	2	1	"briefs"	9062
"brighten"	3	3	3	"brighten"	9063
"brightness"	3	2	2	"brightness"	9064
"brighton"	3	3	3	"brighton"	9065
"brilliance"	3	3	2	"brilliance"	9066
"brimming"	3	2	2	"brimming"	9067
"brine"	3	2	1	"brine"	9068
"britain"	3	3	2	"britain"	9069
"broadly"	3	3	2	"broadly"	9070
"bronzed"	3	3	1	"bronzed"	9071
"brood"	3	3	3	"brood"	9072
"brooded"	3	3	2	"brooded"	9073
"brooding"	3	3	3	"brooding"	9074
"brownstone"	3	3	1	"brownstone"	9075
"brunette"	3	1	1	"brunette"	9076
"buckles"	3	3	3	"buckles"	9077
"buddha"	3	3	2	"buddha"	9078
"buggers"	3	3	3	"buggers"	9079
"buggy"	3	2	2	"buggy"	9080
"bugs"	3	2	2	"bugs"	9081
"buick"	3	2	1	"buick"	9082
"bulge"	3	3	3	"bulge"	9083
"bulldog"	3	2	2	"bulldog"	9084
"bulldozers"	3	1	1	"bulldozers"	9085
"bulls"	3	3	3	"bulls"	9086
"bundled"	3	3	2	"bundled"	9087
"burgers"	3	2	1	"burgers"	9088
"burial"	3	3	2	"burial"	9089
"buries"	3	3	3	"buries"	9090
"burma"	3	1	1	"burma"	9091
"burrow"	3	3	3	"burrow"	9092
"businessman"	3	2	2	"businessman"	9093
"buster"	3	1	1	"buster"	9094
"bustle"	3	2	2	"bustle"	9095
"buzzer"	3	3	3	"buzzer"	9096
"buzzing"	3	2	2	"buzzing"	9097
"bygone"	3	3	3	"bygone"	9098
"cabinets"	3	2	2	"cabinets"	9099
"cadaver"	3	2	2	"cadaver"	9100
"cadavers"	3	3	2	"cadavers"	9101
"cafe"	3	2	2	"cafe"	9102
"cairngorms"	3	1	1	"cairngorms"	9103
"calculated"	3	3	3	"calculated"	9104
"calf"	3	3	3	"calf"	9105
"calinda"	3	1	1	"calinda"	9106
"camberwell"	3	2	1	"camberwell"	9107
"camouflage"	3	2	2	"camouflage"	9108
"cancel"	3	2	2	"cancel"	9109
"candidate"	3	3	2	"candidate"	9110
"candlesticks"	3	3	3	"candlesticks"	9111
"candlewick"	3	3	3	"candlewick"	9112
"cane"	3	3	2	"cane"	9113
"cant"	3	1	1	"cant"	9114
"canteen"	3	3	2	"canteen"	9115
"cape"	3	3	3	"cape"	9116
"captured"	3	3	2	"captured"	9117
"carabas's"	3	3	1	"carabas's"	9118
"caretaker"	3	1	1	"caretaker"	9119
"caricature"	3	3	3	"caricature"	9120
"carrie"	3	2	2	"carrie"	9121
"carrot"	3	3	3	"carrot"	9122
"casinos"	3	2	1	"casinos"	9123
"casual"	3	3	3	"casual"	9124
"caution"	3	3	3	"caution"	9125
"cavity"	3	3	1	"cavity"	9126
"caw"	3	3	1	"caw"	9127
"cement"	3	3	3	"cement"	9128
"centaur"	3	2	1	"centaur"	9129
"centered"	3	3	3	"centered"	9130
"centipede"	3	2	2	"centipede"	9131
"cents"	3	3	1	"cents"	9132
"certificate"	3	3	3	"certificate"	9133
"challenges"	3	3	2	"challenges"	9134
"channels"	3	3	3	"channels"	9135
"chaplain"	3	1	1	"chaplain"	9136
"charging"	3	3	3	"charging"	9137
"charlie.he"	3	3	1	"charlie.he"	9138
"charlie.spider"	3	3	1	"charlie.spider"	9139
"chatting"	3	3	2	"chatting"	9140
"cheating"	3	2	2	"cheating"	9141
"chevy"	3	3	1	"chevy"	9142
"chi"	3	3	1	"chi"	9143
"chi's"	3	3	1	"chi's"	9144
"chickamauga"	3	1	1	"chickamauga"	9145
"chillier"	3	2	2	"chillier"	9146
"chilling"	3	3	3	"chilling"	9147
"chimes"	3	1	1	"chimes"	9148
"chimpanzees"	3	3	3	"chimpanzees"	9149
"chipmunks"	3	1	1	"chipmunks"	9150
"chirruped"	3	3	2	"chirruped"	9151
"choosing"	3	3	2	"choosing"	9152
"chopsticks"	3	2	2	"chopsticks"	9153
"chortled"	3	3	3	"chortled"	9154
"chunks"	3	3	3	"chunks"	9155
"citizen"	3	2	1	"citizen"	9156
"citizens"	3	3	3	"citizens"	9157
"clad"	3	3	3	"clad"	9158
"claus"	3	3	2	"claus"	9159
"claustrophobic"	3	3	3	"claustrophobic"	9160
"clergyman"	3	2	2	"clergyman"	9161
"clink"	3	3	2	"clink"	9162
"clinker"	3	1	1	"clinker"	9163
"clip"	3	3	3	"clip"	9164
"clippings"	3	3	3	"clippings"	9165
"clouding"	3	2	2	"clouding"	9166
"clutches"	3	2	2	"clutches"	9167
"co"	3	3	2	"co"	9168
"coated"	3	3	3	"coated"	9169
"cobbles"	3	3	2	"cobbles"	9170
"cobra"	3	3	3	"cobra"	9171
"cocktail"	3	3	2	"cocktail"	9172
"coconuts"	3	1	1	"coconuts"	9173
"cogs"	3	3	3	"cogs"	9174
"coiled"	3	2	2	"coiled"	9175
"collars"	3	3	2	"collars"	9176
"collecting"	3	3	2	"collecting"	9177
"collective"	3	2	2	"collective"	9178
"collector"	3	3	3	"collector"	9179
"college"	3	3	2	"college"	9180
"colonies"	3	2	2	"colonies"	9181
"comb"	3	3	3	"comb"	9182
"combed"	3	3	2	"combed"	9183
"comments"	3	3	3	"comments"	9184
"commerce"	3	2	2	"commerce"	9185
"commissioned"	3	2	2	"commissioned"	9186
"community"	3	3	2	"community"	9187
"compass"	3	3	3	"compass"	9188
"compassion"	3	1	1	"compassion"	9189
"competent"	3	3	1	"competent"	9190
"completed"	3	3	2	"completed"	9191
"complex"	3	3	3	"complex"	9192
"component"	3	3	3	"component"	9193
"composed"	3	3	3	"composed"	9194
"composition"	3	2	2	"composition"	9195
"comprehend"	3	3	3	"comprehend"	9196
"compressed"	3	3	2	"compressed"	9197
"compé"	3	3	2	"compé"	9198
"conan"	3	2	2	"conan"	9199
"concealing"	3	3	3	"concealing"	9200
"conceived"	3	3	1	"conceived"	9201
"concentrating"	3	3	2	"concentrating"	9202
"concepts"	3	1	1	"concepts"	9203
"concierge"	3	2	1	"concierge"	9204
"condolences"	3	2	2	"condolences"	9205
"conducted"	3	3	2	"conducted"	9206
"confection"	3	3	3	"confection"	9207
"conference"	3	3	3	"conference"	9208
"confidential"	3	3	2	"confidential"	9209
"congealed"	3	3	3	"congealed"	9210
"congo"	3	2	2	"congo"	9211
"congratulate"	3	3	3	"congratulate"	9212
"connecting"	3	2	2	"connecting"	9213
"conscience"	3	3	3	"conscience"	9214
"considering"	3	3	3	"considering"	9215
"consigned"	3	3	2	"consigned"	9216
"construction"	3	2	2	"construction"	9217
"contagious"	3	3	2	"contagious"	9218
"contemplated"	3	3	2	"contemplated"	9219
"contemplates"	3	2	2	"contemplates"	9220
"contemporary"	3	3	3	"contemporary"	9221
"continental"	3	2	2	"continental"	9222
"continuous"	3	3	3	"continuous"	9223
"contorted"	3	3	3	"contorted"	9224
"contradictory"	3	3	3	"contradictory"	9225
"convenience"	3	3	3	"convenience"	9226
"convention"	3	2	2	"convention"	9227
"converse"	3	3	3	"converse"	9228
"convulsively"	3	3	2	"convulsively"	9229
"cooks"	3	3	1	"cooks"	9230
"cooling"	3	3	3	"cooling"	9231
"copse"	3	3	2	"copse"	9232
"coral"	3	2	2	"coral"	9233
"coraline.her"	3	3	1	"coraline.her"	9234
"coraline.miss"	3	2	1	"coraline.miss"	9235
"corkscrew"	3	3	2	"corkscrew"	9236
"corner.the"	3	3	3	"corner.the"	9237
"corrupted"	3	2	1	"corrupted"	9238
"corum"	3	1	1	"corum"	9239
"cottages"	3	2	1	"cottages"	9240
"coughs"	3	3	3	"coughs"	9241
"counterfeit"	3	1	1	"counterfeit"	9242
"couples"	3	3	3	"couples"	9243
"courier"	3	3	2	"courier"	9244
"cozy"	3	3	2	"cozy"	9245
"crackers"	3	2	2	"crackers"	9246
"cracking"	3	3	3	"cracking"	9247
"cramped"	3	3	3	"cramped"	9248
"cramping"	3	3	3	"cramping"	9249
"cramps"	3	2	2	"cramps"	9250
"cranked"	3	3	2	"cranked"	9251
"crate"	3	2	2	"crate"	9252
"crazily"	3	3	3	"crazily"	9253
"creaking"	3	3	2	"creaking"	9254
"creaks"	3	2	2	"creaks"	9255
"creates"	3	3	2	"creates"	9256
"crematorium"	3	3	2	"crematorium"	9257
"crested"	3	3	2	"crested"	9258
"crimsoned"	3	3	2	"crimsoned"	9259
"crimsons"	3	3	2	"crimsons"	9260
"crisps"	3	3	2	"crisps"	9261
"crispy"	3	3	3	"crispy"	9262
"crocodiles"	3	2	2	"crocodiles"	9263
"crone"	3	2	1	"crone"	9264
"crops"	3	3	3	"crops"	9265
"crossbows"	3	2	1	"crossbows"	9266
"crouching"	3	3	3	"crouching"	9267
"croup.mr"	3	3	1	"croup.mr"	9268
"crowding"	3	3	3	"crowding"	9269
"crowed"	3	3	3	"crowed"	9270
"cruelty"	3	3	3	"cruelty"	9271
"crumbles"	3	3	3	"crumbles"	9272
"crunchers"	3	2	1	"crunchers"	9273
"cuddling"	3	3	3	"cuddling"	9274
"cudgel"	3	2	2	"cudgel"	9275
"cudgels"	3	3	3	"cudgels"	9276
"cue"	3	3	2	"cue"	9277
"cuff"	3	3	2	"cuff"	9278
"cuffed"	3	3	2	"cuffed"	9279
"cuisine"	3	2	1	"cuisine"	9280
"culver's"	3	1	1	"culver's"	9281
"cunningly"	3	3	2	"cunningly"	9282
"cupboards"	3	3	3	"cupboards"	9283
"cupidity"	3	2	2	"cupidity"	9284
"currants"	3	3	3	"currants"	9285
"currents"	3	3	3	"currents"	9286
"cursing"	3	3	2	"cursing"	9287
"curtsey"	3	3	3	"curtsey"	9288
"curtseyed"	3	3	2	"curtseyed"	9289
"cymbals"	3	2	1	"cymbals"	9290
"daffodil"	3	3	3	"daffodil"	9291
"dallas"	3	3	2	"dallas"	9292
"damaged"	3	3	2	"damaged"	9293
"dangerously"	3	3	3	"dangerously"	9294
"dappled"	3	3	2	"dappled"	9295
"daring"	3	3	2	"daring"	9296
"dark.and"	3	3	3	"dark.and"	9297
"dark.she"	3	3	3	"dark.she"	9298
"darkly"	3	3	3	"darkly"	9299
"darkness.the"	3	3	2	"darkness.the"	9300
"darlin"	3	2	1	"darlin"	9301
"dated"	3	3	3	"dated"	9302
"day.it"	3	3	2	"day.it"	9303
"daybreak"	3	3	3	"daybreak"	9304
"daydreamed"	3	3	2	"daydreamed"	9305
"deaf"	3	3	3	"deaf"	9306
"deafening"	3	3	3	"deafening"	9307
"dealings"	3	3	2	"dealings"	9308
"deals"	3	3	2	"deals"	9309
"dean"	3	1	1	"dean"	9310
"dearly"	3	2	1	"dearly"	9311
"deceptive"	3	3	3	"deceptive"	9312
"declaimed"	3	3	2	"declaimed"	9313
"declared"	3	3	3	"declared"	9314
"defeat"	3	3	2	"defeat"	9315
"defenseless"	3	3	2	"defenseless"	9316
"definite"	3	3	2	"definite"	9317
"defying"	3	3	3	"defying"	9318
"degree"	3	3	3	"degree"	9319
"del"	3	3	3	"del"	9320
"delayed"	3	3	3	"delayed"	9321
"delete"	3	3	3	"delete"	9322
"deleted"	3	2	2	"deleted"	9323
"demand"	3	3	3	"demand"	9324
"demolishing"	3	3	2	"demolishing"	9325
"demonstrating"	3	3	2	"demonstrating"	9326
"dental"	3	3	2	"dental"	9327
"denver"	3	3	1	"denver"	9328
"deny"	3	3	2	"deny"	9329
"depart"	3	3	2	"depart"	9330
"departed"	3	3	3	"departed"	9331
"depression"	3	3	3	"depression"	9332
"derelict"	3	3	3	"derelict"	9333
"derision"	3	3	3	"derision"	9334
"deserves"	3	3	2	"deserves"	9335
"designing"	3	2	1	"designing"	9336
"designs"	3	3	3	"designs"	9337
"desirable"	3	2	1	"desirable"	9338
"despaired"	3	3	3	"despaired"	9339
"destiny"	3	3	3	"destiny"	9340
"detach"	3	3	3	"detach"	9341
"detectives"	3	3	2	"detectives"	9342
"developed"	3	3	3	"developed"	9343
"developers"	3	3	3	"developers"	9344
"devils"	3	1	1	"devils"	9345
"devour"	3	3	2	"devour"	9346
"dew"	3	3	3	"dew"	9347
"dickens"	3	2	2	"dickens"	9348
"dictionary"	3	3	2	"dictionary"	9349
"difficulties"	3	3	3	"difficulties"	9350
"dignity"	3	3	3	"dignity"	9351
"dimensions"	3	2	2	"dimensions"	9352
"dimness"	3	3	2	"dimness"	9353
"dine"	3	3	2	"dine"	9354
"diplodocus"	3	1	1	"diplodocus"	9355
"dipper"	3	1	1	"dipper"	9356
"disagree"	3	3	2	"disagree"	9357
"disappointing"	3	3	3	"disappointing"	9358
"disapprovingly"	3	2	2	"disapprovingly"	9359
"discarded"	3	3	3	"discarded"	9360
"discharged"	3	3	2	"discharged"	9361
"discordant"	3	2	1	"discordant"	9362
"discount"	3	3	3	"discount"	9363
"discourage"	3	2	2	"discourage"	9364
"discussion"	3	2	2	"discussion"	9365
"disguise"	3	3	2	"disguise"	9366
"disgusted"	3	3	3	"disgusted"	9367
"disinfectant"	3	3	2	"disinfectant"	9368
"dislike"	3	3	2	"dislike"	9369
"dislodge"	3	3	3	"dislodge"	9370
"dismal"	3	3	2	"dismal"	9371
"dismembered"	3	3	2	"dismembered"	9372
"dismissing"	3	3	3	"dismissing"	9373
"disneyland"	3	3	2	"disneyland"	9374
"disposal"	3	3	3	"disposal"	9375
"disposed"	3	3	2	"disposed"	9376
"disservice"	3	3	1	"disservice"	9377
"distress"	3	3	1	"distress"	9378
"distressed"	3	3	2	"distressed"	9379
"distrustfully"	3	3	3	"distrustfully"	9380
"ditchwater"	3	2	1	"ditchwater"	9381
"division"	3	3	3	"division"	9382
"divorce"	3	3	2	"divorce"	9383
"dizzying"	3	3	1	"dizzying"	9384
"docklands"	3	3	2	"docklands"	9385
"documents"	3	3	2	"documents"	9386
"dodgy"	3	2	2	"dodgy"	9387
"dole"	3	1	1	"dole"	9388
"dome"	3	3	3	"dome"	9389
"domestic"	3	3	2	"domestic"	9390
"dominated"	3	3	3	"dominated"	9391
"dominoes"	3	2	2	"dominoes"	9392
"donations"	3	3	3	"donations"	9393
"doo"	3	2	2	"doo"	9394
"door.there"	3	3	2	"door.there"	9395
"door.they"	3	3	3	"door.they"	9396
"dotted"	3	3	3	"dotted"	9397
"doubts"	3	3	2	"doubts"	9398
"dour"	3	3	3	"dour"	9399
"downhill"	3	3	2	"downhill"	9400
"downtown"	3	3	2	"downtown"	9401
"dozed"	3	3	3	"dozed"	9402
"dramatically"	3	3	3	"dramatically"	9403
"draught"	3	3	2	"draught"	9404
"drawings"	3	3	1	"drawings"	9405
"dreadfully"	3	3	2	"dreadfully"	9406
"dreadfuls"	3	2	1	"dreadfuls"	9407
"dream.the"	3	3	3	"dream.the"	9408
"dreamlike"	3	3	2	"dreamlike"	9409
"drippy"	3	2	2	"drippy"	9410
"droplets"	3	3	3	"droplets"	9411
"droppings"	3	2	2	"droppings"	9412
"drownded"	3	1	1	"drownded"	9413
"dubiously"	3	2	2	"dubiously"	9414
"dullest"	3	2	2	"dullest"	9415
"dummy"	3	3	3	"dummy"	9416
"dump"	3	3	2	"dump"	9417
"dung"	3	3	3	"dung"	9418
"dutch"	3	3	2	"dutch"	9419
"dye"	3	2	2	"dye"	9420
"dyed"	3	3	2	"dyed"	9421
"e's"	3	1	1	"e's"	9422
"eager"	3	3	3	"eager"	9423
"eagled"	3	3	3	"eagled"	9424
"earliest"	3	3	3	"earliest"	9425
"earthquake"	3	3	3	"earthquake"	9426
"easel"	3	1	1	"easel"	9427
"easiest"	3	3	1	"easiest"	9428
"easing"	3	3	3	"easing"	9429
"ebony"	3	3	3	"ebony"	9430
"ecstatic"	3	3	2	"ecstatic"	9431
"ecstatically"	3	2	1	"ecstatically"	9432
"editorial"	3	2	2	"editorial"	9433
"education"	3	3	3	"education"	9434
"educational"	3	3	2	"educational"	9435
"effective"	3	3	3	"effective"	9436
"egyptians"	3	1	1	"egyptians"	9437
"eiffel"	3	2	2	"eiffel"	9438
"electronic"	3	2	2	"electronic"	9439
"electrons"	3	2	2	"electrons"	9440
"embarrass"	3	3	1	"embarrass"	9441
"embroidering"	3	3	3	"embroidering"	9442
